legacy row	current targets	disposition	reason
profile|button|Button_SIGN IN|SIGN IN	button:SubmitAccount	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|Button_TSINELAS|TSINELAS	button:TumpCategory2	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CancelQueueButton|CANCEL	button:CancelQueueButton	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
profile|button|CharNextButton|	button:Portrait_dante;button:Portrait_sean	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CharPrevButton|	button:Portrait_dante;button:Portrait_sean	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CharacterButton|CHOOSE  ▸	button:LoadoutButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|ChatChip|CHAT	button:ChatButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CloseJoinButton|BACK TO LOBBY	button:CloseJoinButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|ConfirmButton|CHOOSE	button:TumpUseLoadout	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CreateTab|CREATE	button:CreateAccountTab	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|CustomDoor|MAKE YOUR OWN	@owner-removed	owner removed button; stated replacement/decision	Owner explicitly removed MAKE YOUR OWN from the collection. Existing exception and TODO133.5 are preserved; custom assets are not deleted.
profile|button|CustomTab|CUSTOM	button:CustomGameButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|DifficultyNextButton|	button:BotsNextButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|DifficultyPrevButton|	button:BotsPrevButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|FormatNextButton|	button:FormatNext	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|FormatPrevButton|	button:FormatPrevious	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|GameSettingsButton|SETTINGS	button:SettingsButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|GoOnlineButton|START SERVER	button:OnlineRoomButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|GuestButton|PLAY AS GUEST	button:GuestAccount	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|HubClose|CLOSE	button:ClosePlayerHub	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|JoinButton|JOIN	button:ConnectToRoom	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|JoinChip|JOIN A GAME	button:JoinRoomButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|LeaveGameButton|LEAVE GAME	button:LeaveGameButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|LoadoutButton|Standard Build	button:LoadoutButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|LoadoutDoor|LOADOUT	button:TumpSkills	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|MapNextButton|	button:MapNextButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|MapPrevButton|	button:MapPrevButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|ModeNextButton|	button:ModeNextButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|ModePrevButton|	button:ModePrevButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|NearbyChip|ON YOUR NETWORK	button:NearbyChip	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|OnlineChip|ONLINE	button:OnlineChip	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|OpenJoinButton|JOIN A GAME	button:JoinRoomButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|OtherAccountButton|SIGN IN AS SOMEBODY ELSE	button:OtherAccount	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
profile|button|Plate0|Player#8226   <b>YOU</b>	button:SeatButton0	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|Plate1|BOT	button:SeatButton1	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|Plate2|BOT	button:SeatButton2	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|Plate3|BOT	button:SeatButton3	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|PracticeTab|PRACTICE	button:PracticeRoute	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|PrimaryButton|CONNECTING...	button:PrimaryButton	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
profile|button|ProfileButton|SECURE PROGRESS	button:ProfileButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|RankedTab|RANKED	button:RankedRoute	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|RoomCodeButton|ROOM CODE	button:CopyRoomCode	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|SeatButton0|P1  ·  TAYA FIRST   YOU	button:SeatButton0	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|SeatButton1|P2   · BOT	button:SeatButton1	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|SeatButton2|P3   · BOT	button:SeatButton2	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|SeatButton3|P4   · BOT	button:SeatButton3	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|Section_Banner|+  BANNER	button:Group_Banner/ToggleGroup	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|Section_Identity|-  IDENTITY	field:PlayerNameEdit	retained	Identity is directly editable on the profile page; it is no longer hidden under a fold.
profile|button|Section_Optional details|+  OPTIONAL DETAILS	field:ProfileCountry;field:ProfilePronouns;field:ProfileBio	retained	Require every optional identity field reached by expanding the current group.
profile|button|SettingsDrawerToggle|MATCH SETTINGS	button:CustomGameButton	retained	Capability moved to the named painted-screen control; retain the original baseline row.
profile|button|SignInTab|SIGN IN	button:SignInTab	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|SpectateButton|SPECTATE	button:SpectateButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|StartButton|START MATCH	button:StartButton	retained	Same control identity; current routed owner, not a hidden converted node.
profile|button|StartWithBotsButton|START WITH 3 BOTS	button:StartWithBotsButton	retained	Current owner constructs this conditional ready/queue/welcome control. Catalogued without matchmaking/authentication; behavioral evidence remains separate.
profile|field|ChatField|	field:ChatInput	retained	Field retains its function in the current screen.
profile|field|Field_PASSWORD|	field:Password	retained	Field retains its function in the current screen.
profile|field|Field_USERNAME|	field:Username	retained	Field retains its function in the current screen.
profile|field|JoinAddressEdit|	field:JoinCode	retained	Field retains its function in the current screen.
profile|field|PlayerNameEdit|	field:PlayerNameEdit	retained	Same control identity; current routed owner, not a hidden converted node.
settings|button|ApplyButton|APPLY CHANGES	button:TumpSaveSettings	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|BackButton|◀  BACK	button:BackButton	retained	Same control identity; current routed owner, not a hidden converted node.
settings|button|Button_A|A	button:Binding_MoveLeftAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_B|B	button:Binding_EmoteWheelAction;button:Binding_SpectatorMarkAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_C|C	button:Binding_CurveRightAction;button:Binding_SpectatorControlsAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_CUSTOMISE|CUSTOMISE	button:TouchLayoutAction	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|Button_D|D	button:Binding_MoveRightAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_E|E	button:Binding_Skill2Action	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_F|F	button:Binding_SpectatorFreeFlyAction;button:Binding_UltimateAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_F11|F11	button:Binding_ToggleFullscreenAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_GAMEPAD|GAMEPAD	button:InputDeviceValue;button:ControllerMapAction	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|Button_H|H	button:Binding_CleanFeedAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_K|K	button:Binding_SpectatorAutopilotAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_KEYBOARD|KEYBOARD	button:InputDeviceValue	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|Button_Left Button|Left Button	button:Binding_SpecialAbilityAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Left Control|Left Control	button:Binding_SpectatorDownAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Left Shift|Left Shift	button:Binding_SprintAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_N|N	button:Binding_SpectatorRecallAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_ON|ON	toggle:GenericControllerValue	retained	The original ON button controlled GenericPadBridge, not Touch. Require the restored unrecognised-controller switch, exercised with a synthetic joystick and save/discard regression.
settings|button|Button_P|P	button:Binding_SpectatorPauseAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Q|Q	button:Binding_Skill1Action	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_R|R	button:Binding_ReadyUpAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_RESET|RESET	button:ResetControlsAction	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|Button_Right Button|Right Button	button:Binding_LungeAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_S|S	button:Binding_MoveBackwardAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Space|Space	button:Binding_JumpAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Tab|Tab	button:Binding_AbilityInfoAction;button:Binding_SpectatorCycleTargetAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_V|V	button:Binding_SpectatorPovAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_W|W	button:Binding_MoveForwardAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_X|X	button:Binding_GrabAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Y|Y	button:Binding_SpectatorReplayAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|Button_Z|Z	button:Binding_CurveLeftAction	retained	Old keycap label was not a stable identity. These action-specific binding rows preserve its function when rebound.
settings|button|CreditsButton|CREDITS	button:SettingsCredits	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|QuitButton|QUIT	@owner-removed	owner removed button; stated replacement/decision	Owner removed title pennants in TODO153.4. ConvertedMainMenu.Cancel retains Escape/controller Cancel/Android Back to quit.
settings|button|ResetAllButton|RESET ALL	button:Reset	retained	Capability moved to the named painted-screen control; retain the original baseline row.
settings|button|SettingsButton|SETTINGS	button:SettingsButton	retained	Same control identity; current routed owner, not a hidden converted node.
settings|button|StartButton|PLAY	button:StartButton	retained	Same control identity; current routed owner, not a hidden converted node.
settings|button|TutorialButton|TUTORIAL	button:TutorialButton	retained	Same control identity; current routed owner, not a hidden converted node.
settings|dropdown|SwatchDropdown|MSAA 4x + FXAA	button:GraphicsQualityValue;button:RenderStyleValue;button:AntiAliasingValue;button:VSyncValue;button:FrameRateValue	retained	Legacy generic dropdown name combined several graphics settings; require every current named selector.
settings|dropdown|SwatchDropdown|ON	button:GraphicsQualityValue;button:RenderStyleValue;button:AntiAliasingValue;button:VSyncValue;button:FrameRateValue	retained	Legacy generic dropdown name combined several graphics settings; require every current named selector.
settings|dropdown|SwatchDropdown|Off	button:GraphicsQualityValue;button:RenderStyleValue;button:AntiAliasingValue;button:VSyncValue;button:FrameRateValue	retained	Legacy generic dropdown name combined several graphics settings; require every current named selector.
settings|dropdown|SwatchDropdown|On	button:GraphicsQualityValue;button:RenderStyleValue;button:AntiAliasingValue;button:VSyncValue;button:FrameRateValue	retained	Legacy generic dropdown name combined several graphics settings; require every current named selector.
settings|dropdown|SwatchDropdown|Toon (Ink Outlines)	button:GraphicsQualityValue;button:RenderStyleValue;button:AntiAliasingValue;button:VSyncValue;button:FrameRateValue	retained	Legacy generic dropdown name combined several graphics settings; require every current named selector.
settings|field|PlayerNameField|	field:PlayerNameField	retained	Same control identity; current routed owner, not a hidden converted node.
settings|scrollbar|VerticalScrollbar|	scrollbar:Scrollbar	retained	Current scroll columns own their scrollbar.
settings|slider|MasterVolumeSlider|	slider:MasterVolumeValue	retained	Settings slider moved to its current section and stable key.
settings|slider|MusicVolumeSlider|	slider:MusicVolumeValue	retained	Settings slider moved to its current section and stable key.
settings|slider|SensitivitySlider|	slider:SensitivityValue	retained	Settings slider moved to its current section and stable key.
settings|slider|SfxVolumeSlider|	slider:SoundVolumeValue	retained	Settings slider moved to its current section and stable key.
settings|toggle|FullscreenCheck|Fullscreen	toggle:FullscreenValue	retained	Current settings toggle.
settings|toggle|InvertYCheck|Invert Y (mouse look)	toggle:InvertYValue	retained	Current settings toggle.
settings|toggle|Item|	button:Option0;button:Option1	retained	Legacy dropdown option now uses the current option-menu buttons.
